Date,DHHNGSP_20251126
5/1/2024,1.63
5/2/2024,1.66
5/3/2024,1.67
5/6/2024,1.88
5/7/2024,1.95
5/8/2024,2.01
5/9/2024,2.03
5/10/2024,2.14
5/13/2024,2.11
5/14/2024,2.14
5/15/2024,2.12
5/16/2024,2.32
5/17/2024,2.44
5/20/2024,2.52
5/21/2024,2.52
5/22/2024,2.51
5/23/2024,2.64
5/24/2024,2.22
5/27/2024,
5/28/2024,2.29
5/29/2024,2.2
5/30/2024,1.87
5/31/2024,1.78
6/3/2024,2.55
6/4/2024,2.58
6/5/2024,2.27
6/6/2024,2.3
6/7/2024,2.46
6/10/2024,2.61
6/11/2024,2.71
6/12/2024,2.8
6/13/2024,2.79
6/14/2024,2.74
6/17/2024,2.5
6/18/2024,2.43
6/19/2024,
6/20/2024,2.39
6/21/2024,2.44
6/24/2024,2.58
6/25/2024,2.61
6/26/2024,2.45
6/27/2024,2.55
6/28/2024,2.42
7/1/2024,2.21
7/2/2024,2.06
7/3/2024,2.02
7/4/2024,
7/5/2024,2.02
7/8/2024,2.1
7/9/2024,2.42
7/10/2024,2.4
7/11/2024,2.23
7/12/2024,2.17
7/15/2024,2.12
7/16/2024,2.1
7/17/2024,1.98
7/18/2024,2
7/19/2024,1.88
7/22/2024,2.19
7/23/2024,2.13
7/24/2024,2
7/25/2024,2
7/26/2024,1.98
7/29/2024,1.9
7/30/2024,1.81
7/31/2024,1.94
8/1/2024,1.95
8/2/2024,1.89
8/5/2024,1.83
8/6/2024,1.83
8/7/2024,1.96
8/8/2024,1.85
8/9/2024,1.94
8/12/2024,2.1
8/13/2024,2.16
8/14/2024,2.18
8/15/2024,2.19
8/16/2024,2.01
8/19/2024,2.12
8/20/2024,2.18
8/21/2024,2.14
8/22/2024,1.93
8/23/2024,1.82
8/26/2024,2.13
8/27/2024,1.91
8/28/2024,1.89
8/29/2024,1.85
8/30/2024,1.93
9/2/2024,
9/3/2024,1.93
9/4/2024,2.05
9/5/2024,2.02
9/6/2024,2.09
9/9/2024,2.03
9/10/2024,2.13
9/11/2024,2.13
9/12/2024,2.13
9/13/2024,2.25
9/16/2024,2.23
9/17/2024,2.33
9/18/2024,2.31
9/19/2024,2.24
9/20/2024,2.2
9/23/2024,2.4
9/24/2024,2.61
9/25/2024,2.62
9/26/2024,2.64
9/27/2024,2.53
9/30/2024,2.65
10/1/2024,2.67
10/2/2024,2.77
10/3/2024,2.75
10/4/2024,2.49
10/7/2024,2.51
10/8/2024,2.51
10/9/2024,2.43
10/10/2024,2.26
10/11/2024,2.31
10/14/2024,
10/15/2024,2.37
10/16/2024,2.21
10/17/2024,2.19
10/18/2024,1.82
10/21/2024,1.76
10/22/2024,1.76
10/23/2024,1.9
10/24/2024,2.04
10/25/2024,1.93
10/28/2024,2.03
10/29/2024,1.82
10/30/2024,2.03
10/31/2024,1.82
11/1/2024,1.42
11/4/2024,1.35
11/5/2024,1.62
11/6/2024,1.8
11/7/2024,1.49
11/8/2024,1.21
11/11/2024,1.21
11/12/2024,1.92
11/13/2024,2.06
11/14/2024,2.11
11/15/2024,1.65
11/18/2024,2.08
11/19/2024,2.1
11/20/2024,2.32
11/21/2024,2.84
11/22/2024,2.41
11/25/2024,2.78
11/26/2024,3.19
11/27/2024,3.39
