Date,covestro
3/8/2023,39.97000122
3/9/2023,39.70999908
3/10/2023,38.61000061
3/13/2023,36.61999893
3/14/2023,36.65000153
3/15/2023,35.36000061
3/16/2023,36.33000183
3/17/2023,36.84999847
3/20/2023,37.13000107
3/21/2023,37.56000137
3/22/2023,38.31999969
3/23/2023,37.75
3/24/2023,36.38000107
3/27/2023,36.84999847
3/28/2023,36.95000076
3/29/2023,37.56999969
3/30/2023,38.25
3/31/2023,38.13000107
4/3/2023,38.08000183
4/4/2023,37.90999985
4/5/2023,36.47000122
4/6/2023,36.25
4/11/2023,36.77000046
4/12/2023,36.61999893
4/13/2023,35.86000061
4/14/2023,36.77000046
4/17/2023,37.13999939
4/18/2023,37.88000107
4/19/2023,37.79999924
4/20/2023,37.29999924
4/21/2023,37.04000092
4/24/2023,37.13999939
4/25/2023,36.43000031
4/26/2023,37
4/27/2023,36.68999863
4/28/2023,39.79000092
5/2/2023,38.06000137
5/3/2023,38.52000046
5/4/2023,38.13000107
5/5/2023,40.13000107
5/8/2023,40.04000092
5/9/2023,39.97999954
5/10/2023,39.58000183
5/11/2023,39.34000015
5/12/2023,39.34000015
5/15/2023,39.43000031
5/16/2023,39.02999878
5/17/2023,39.81999969
5/18/2023,40.11999893
5/19/2023,39.72000122
5/22/2023,39.61999893
5/23/2023,39.75999832
5/24/2023,38.75
5/25/2023,38.20999908
5/26/2023,38.81999969
5/29/2023,38.54000092
5/30/2023,37.90000153
5/31/2023,36.06000137
6/1/2023,36.34999847
6/2/2023,38.66999817
6/5/2023,38.43999863
6/6/2023,38.66999817
6/7/2023,39.02999878
6/8/2023,39.11999893
6/9/2023,39.04999924
6/12/2023,39.93000031
6/13/2023,41.06000137
6/14/2023,40.81999969
6/15/2023,40.88999939
6/16/2023,41.77000046
6/19/2023,40.31000137
6/20/2023,45.50999832
6/21/2023,47.15000153
6/22/2023,48.34999847
6/23/2023,49
6/26/2023,49.59999847
6/27/2023,49.52000046
6/28/2023,47.90000153
6/29/2023,46.84000015
6/30/2023,47.58000183
7/3/2023,47.95000076
7/4/2023,47.02000046
7/5/2023,47.40000153
7/6/2023,46.49000168
7/7/2023,47.86999893
7/10/2023,47.5
7/11/2023,47.47999954
7/12/2023,48.04999924
7/13/2023,48.15000153
7/14/2023,47.95000076
7/17/2023,47.65000153
7/18/2023,50.29999924
7/19/2023,48.84000015
7/20/2023,49.06000137
7/21/2023,48.97999954
7/24/2023,48.79000092
7/25/2023,49.08000183
7/26/2023,49.74000168
7/27/2023,49.13000107
7/28/2023,49.5
7/31/2023,48.83000183
