Date,basf
6/19/2023,39.04216385
6/20/2023,37.79288483
6/21/2023,37.75744629
6/22/2023,37.5447998
6/23/2023,37.42075729
6/26/2023,37.9080658
6/27/2023,38.19602203
6/28/2023,39.05102539
6/29/2023,39.02001572
6/30/2023,39.40099716
7/3/2023,39.63579178
7/4/2023,39.5914917
7/5/2023,39.06431198
7/6/2023,38.16057968
7/7/2023,40.09208679
7/10/2023,39.83957672
7/11/2023,40.38004303
7/12/2023,41.40781784
7/13/2023,41.13758469
7/14/2023,40.18954849
7/17/2023,40.05664825
7/18/2023,41.32364655
7/19/2023,41.70463181
7/20/2023,42.24066925
7/21/2023,42.05903625
7/24/2023,41.93499374
7/25/2023,42.18751144
7/26/2023,41.90841293
7/27/2023,42.44002533
7/28/2023,43.75574875
7/31/2023,43.21085739
8/1/2023,43.11339188
8/2/2023,42.30712128
8/3/2023,41.81095505
8/4/2023,41.75779343
8/7/2023,41.7888031
8/8/2023,41.13315582
8/9/2023,41.25276947
8/10/2023,41.97486877
8/11/2023,41.42996597
8/14/2023,41.07556152
8/15/2023,40.44206619
8/16/2023,40.49965286
8/17/2023,40.52623367
8/18/2023,40.36231995
8/21/2023,40.42434311
8/22/2023,40.63255692
8/23/2023,40.32688141
8/24/2023,39.99019623
8/25/2023,39.89273834
8/28/2023,40.22499084
8/29/2023,40.73887634
8/30/2023,40.97810364
8/31/2023,41.4565506
9/1/2023,41.54071808
9/4/2023,41.30149841
9/5/2023,40.65470505
9/6/2023,40.58382797
9/7/2023,39.97247696
9/8/2023,39.4098587
9/11/2023,39.86615372
9/12/2023,39.23265457
9/13/2023,39.2725296
9/14/2023,39.97690582
9/15/2023,40.97810364
9/18/2023,40.14525223
9/19/2023,40.04778671
9/20/2023,40.47750473
9/21/2023,38.51055527
9/22/2023,38.17387009
9/25/2023,37.90363693
9/26/2023,37.310009
9/27/2023,37.46062851
9/28/2023,37.7840271
9/29/2023,38.05426025
10/2/2023,37.11508179
10/3/2023,36.99990082
10/4/2023,37.07964325
10/5/2023,36.63220978
10/6/2023,37.05306625
10/9/2023,36.27336884
10/10/2023,37.47391891
10/11/2023,37.65555191
10/12/2023,37.33658981
10/13/2023,37.24798584
10/16/2023,37.67327118
10/17/2023,37.61568451
10/18/2023,37.07078552
10/19/2023,36.70751953
10/20/2023,36.32210541
10/23/2023,36.25564957
10/24/2023,36.28223419
10/25/2023,35.9588356
10/26/2023,36.490448
10/27/2023,36.73409653
10/30/2023,36.92902374
10/31/2023,38.57257843
11/1/2023,37.46506119
